periodyear,planning.region,naicstitle,wages
2018,Central Minnesota,Food Manufacturing,427110744
2017,Central Minnesota,Food Manufacturing,402026887
2016,Central Minnesota,Food Manufacturing,362840014
2015,Central Minnesota,Food Manufacturing,342010124
2014,Central Minnesota,Food Manufacturing,329854996
2013,Central Minnesota,Food Manufacturing,307600880
2012,Central Minnesota,Food Manufacturing,288049127
2011,Central Minnesota,Food Manufacturing,291938888
2010,Central Minnesota,Food Manufacturing,283330458
2009,Central Minnesota,Food Manufacturing,270318451
2008,Central Minnesota,Food Manufacturing,266222616
2007,Central Minnesota,Food Manufacturing,252463229
2006,Central Minnesota,Food Manufacturing,244769023
2005,Central Minnesota,Food Manufacturing,237189608
2004,Central Minnesota,Food Manufacturing,234397236
2003,Central Minnesota,Food Manufacturing,220734138
2002,Central Minnesota,Food Manufacturing,208242615
2001,Central Minnesota,Food Manufacturing,194504219
2018,Northeast Minnesota,Food Manufacturing,14691338
2017,Northeast Minnesota,Food Manufacturing,8520841
2016,Northeast Minnesota,Food Manufacturing,12517455
2015,Northeast Minnesota,Food Manufacturing,9607488
2014,Northeast Minnesota,Food Manufacturing,9923709
2013,Northeast Minnesota,Food Manufacturing,12230317
2012,Northeast Minnesota,Food Manufacturing,13431323
2011,Northeast Minnesota,Food Manufacturing,28717832
2010,Northeast Minnesota,Food Manufacturing,10457736
2009,Northeast Minnesota,Food Manufacturing,10950465
2008,Northeast Minnesota,Food Manufacturing,15925293
2007,Northeast Minnesota,Food Manufacturing,13099741
2006,Northeast Minnesota,Food Manufacturing,13109285
2005,Northeast Minnesota,Food Manufacturing,14871602
2004,Northeast Minnesota,Food Manufacturing,17797916
2003,Northeast Minnesota,Food Manufacturing,19523333
2002,Northeast Minnesota,Food Manufacturing,18259344
2001,Northeast Minnesota,Food Manufacturing,21359641
2018,Northwest Minnesota,Food Manufacturing,300091352
2017,Northwest Minnesota,Food Manufacturing,289487556
2016,Northwest Minnesota,Food Manufacturing,272118607
2015,Northwest Minnesota,Food Manufacturing,256599778
2014,Northwest Minnesota,Food Manufacturing,244835416
2013,Northwest Minnesota,Food Manufacturing,240612309
2012,Northwest Minnesota,Food Manufacturing,241897794
2011,Northwest Minnesota,Food Manufacturing,220850162
2010,Northwest Minnesota,Food Manufacturing,206937183
2009,Northwest Minnesota,Food Manufacturing,198157505
2008,Northwest Minnesota,Food Manufacturing,182921071
2007,Northwest Minnesota,Food Manufacturing,171045260
2006,Northwest Minnesota,Food Manufacturing,157130305
2005,Northwest Minnesota,Food Manufacturing,151295255
2004,Northwest Minnesota,Food Manufacturing,164452738
2003,Northwest Minnesota,Food Manufacturing,162009636
2002,Northwest Minnesota,Food Manufacturing,158506370
2001,Northwest Minnesota,Food Manufacturing,155872759
2018,Seven County Mpls-St Paul,Food Manufacturing,561400385
2017,Seven County Mpls-St Paul,Food Manufacturing,543308119
2016,Seven County Mpls-St Paul,Food Manufacturing,551230860
2015,Seven County Mpls-St Paul,Food Manufacturing,535049426
2014,Seven County Mpls-St Paul,Food Manufacturing,535224839
2013,Seven County Mpls-St Paul,Food Manufacturing,507795096
2012,Seven County Mpls-St Paul,Food Manufacturing,448377019
2011,Seven County Mpls-St Paul,Food Manufacturing,434598581
2010,Seven County Mpls-St Paul,Food Manufacturing,452269177
2009,Seven County Mpls-St Paul,Food Manufacturing,422734620
2008,Seven County Mpls-St Paul,Food Manufacturing,420821336
2007,Seven County Mpls-St Paul,Food Manufacturing,457372647
2006,Seven County Mpls-St Paul,Food Manufacturing,438895369
2005,Seven County Mpls-St Paul,Food Manufacturing,438463693
2004,Seven County Mpls-St Paul,Food Manufacturing,451486285
2003,Seven County Mpls-St Paul,Food Manufacturing,517525329
2002,Seven County Mpls-St Paul,Food Manufacturing,500971872
2001,Seven County Mpls-St Paul,Food Manufacturing,483175296
2018,Southeast Minnesota,Food Manufacturing,576863722
2017,Southeast Minnesota,Food Manufacturing,565587315
2016,Southeast Minnesota,Food Manufacturing,539280532
2015,Southeast Minnesota,Food Manufacturing,512410502
2014,Southeast Minnesota,Food Manufacturing,475223035
2013,Southeast Minnesota,Food Manufacturing,470361396
2012,Southeast Minnesota,Food Manufacturing,454491161
2011,Southeast Minnesota,Food Manufacturing,433889270
2010,Southeast Minnesota,Food Manufacturing,420952457
2009,Southeast Minnesota,Food Manufacturing,411894881
2008,Southeast Minnesota,Food Manufacturing,402709701
2007,Southeast Minnesota,Food Manufacturing,407600421
2006,Southeast Minnesota,Food Manufacturing,405591612
2005,Southeast Minnesota,Food Manufacturing,418397029
2004,Southeast Minnesota,Food Manufacturing,422017152
2003,Southeast Minnesota,Food Manufacturing,415069011
2002,Southeast Minnesota,Food Manufacturing,398768447
2001,Southeast Minnesota,Food Manufacturing,379853241
2018,Southwest Minnesota,Food Manufacturing,573478909
2017,Southwest Minnesota,Food Manufacturing,571577800
2016,Southwest Minnesota,Food Manufacturing,515807028
2015,Southwest Minnesota,Food Manufacturing,493663440
2014,Southwest Minnesota,Food Manufacturing,446746643
2013,Southwest Minnesota,Food Manufacturing,439021458
2012,Southwest Minnesota,Food Manufacturing,428913567
2011,Southwest Minnesota,Food Manufacturing,423349499
2010,Southwest Minnesota,Food Manufacturing,408015387
2009,Southwest Minnesota,Food Manufacturing,388256251
2008,Southwest Minnesota,Food Manufacturing,367480790
2007,Southwest Minnesota,Food Manufacturing,344933240
2006,Southwest Minnesota,Food Manufacturing,335767457
2005,Southwest Minnesota,Food Manufacturing,338348685
2004,Southwest Minnesota,Food Manufacturing,331223925
2003,Southwest Minnesota,Food Manufacturing,323301634
2002,Southwest Minnesota,Food Manufacturing,392886167
2001,Southwest Minnesota,Food Manufacturing,366364326
