year,Dem_Desc,farm.cash.receipts,gross.sales
2003,Entirely rural,1177226000,2473694284
2003,Entirely urban,1085456000,126876000000
2003,Minnesota,9384893000,220420000000
2003,Town/rural mix,4179308000,23927113046
2003,Urban/town/rural mix,2942903000,29105185427
2004,Entirely rural,1210726000,2318362326
2004,Entirely urban,1206237000,136663000000
2004,Minnesota,10488407000,241337000000
2004,Town/rural mix,4749094000,26437307681
2004,Urban/town/rural mix,3322350000,30405769618
2005,Entirely rural,1146296000,2165316522
2005,Entirely urban,1153938000,149529000000
2005,Minnesota,10105460000,258605000000
2005,Town/rural mix,4569316000,27204184211
2005,Urban/town/rural mix,3235910000,32375215852
2006,Entirely rural,1343411000,2194618959
2006,Entirely urban,1249491000,157955000000
2006,Minnesota,11024820000,275906000000
2006,Town/rural mix,4953868000,30521901101
2006,Urban/town/rural mix,3478050000,34709260590
2007,Entirely rural,1690797000,2338376118
2007,Entirely urban,1506998000,160760000000
2007,Minnesota,13714688000,282151000000
2007,Town/rural mix,6138386000,29418839048
2007,Urban/town/rural mix,4378507000,35680879375
2008,Entirely rural,2114976000,2849271713
2008,Entirely urban,1790556000,164858000000
2008,Minnesota,16450189000,291681000000
2008,Town/rural mix,7336952000,31721795590
2008,Urban/town/rural mix,5207705000,36476775817
2009,Entirely rural,1865825000,2529213809
2009,Entirely urban,1593846000,153352000000
2009,Minnesota,14370815000,266666000000
2009,Town/rural mix,6463534000,28997265487
2009,Urban/town/rural mix,4447610000,33664961448
2010,Entirely rural,2078130000,2790517482
2010,Entirely urban,1778031000,157975000000
2010,Minnesota,16179679000,279159000000
2010,Town/rural mix,7262101000,31462787164
2010,Urban/town/rural mix,5061417000,35282666049
2011,Entirely rural,2252874000,3137560686
2011,Entirely urban,2054627000,166905000000
2011,Minnesota,18486830000,299803000000
2011,Town/rural mix,8284213000,36106414838
2011,Urban/town/rural mix,5895116000,39114650118
2012,Entirely rural,2886315000,3390421767
2012,Entirely urban,2365791000,171806000000
2012,Minnesota,21642749000,312838000000
2012,Town/rural mix,9578491000,37464383533
2012,Urban/town/rural mix,6812152000,40683677186
2013,Entirely rural,3199437000,3753642415
2013,Entirely urban,2324224000,180420000000
2013,Minnesota,22275899000,333550000000
2013,Town/rural mix,9905863000,38813334950
2013,Urban/town/rural mix,6846375000,42238016780
2014,Entirely rural,2600697000,3589230172
2014,Entirely urban,2085896000,188745000000
2014,Minnesota,20199467000,348161000000
2014,Town/rural mix,9065983000,39223835945
2014,Urban/town/rural mix,6446891000,43551487064
2015,Entirely rural,2162109000,3171709589
2015,Entirely urban,1787084000,188882000000
2015,Minnesota,16968223000,345205000000
2015,Town/rural mix,7538980000,37560440934
2015,Urban/town/rural mix,5480050000,42454737796
2016,Entirely rural,2363578000,3103279942
2016,Entirely urban,1841896000,189426000000
2016,Minnesota,17563635000,344363000000
2016,Town/rural mix,7706141000,36999484974
2016,Urban/town/rural mix,5652020000,41904145000
2017,Entirely rural,2281791000,3200936141
2017,Entirely urban,1871183000,196601000000
2017,Minnesota,17733659000,360408000000
2017,Town/rural mix,7772831000,38049618141
2017,Urban/town/rural mix,5807854000,43033952148
