year,sales.type,metro.non,dollars
2003,gross.sales,Metro,116464524301
2003,sales.tax,Metro,2138941664
2003,taxable.sales,Metro,32258150556
2003,total.tax,Metro,2272214120
2003,use.tax,Metro,133272456
2004,gross.sales,Metro,124925061100
2004,sales.tax,Metro,2215687727
2004,taxable.sales,Metro,33408182050
2004,total.tax,Metro,2368737130
2004,use.tax,Metro,153049403
2005,gross.sales,Metro,136573475443
2005,sales.tax,Metro,2296259848
2005,taxable.sales,Metro,34608627761
2005,total.tax,Metro,2461888288
2005,use.tax,Metro,165628440
2006,gross.sales,Metro,143750372985
2006,sales.tax,Metro,2345026969
2006,taxable.sales,Metro,35318545813
2006,total.tax,Metro,2542501339
2006,use.tax,Metro,197474370
2007,gross.sales,Metro,145089137879
2007,sales.tax,Metro,2357849970
2007,taxable.sales,Metro,35475607912
2007,total.tax,Metro,2557443235
2007,use.tax,Metro,199593265
2008,gross.sales,Metro,149749032467
2008,sales.tax,Metro,2351956402
2008,taxable.sales,Metro,35372405105
2008,total.tax,Metro,2551040245
2008,use.tax,Metro,199083843
2009,gross.sales,Metro,139036578392
2009,sales.tax,Metro,2222888465
2009,taxable.sales,Metro,32462340921
2009,total.tax,Metro,2407186218
2009,use.tax,Metro,184297753
2010,gross.sales,Metro,143143782636
2010,sales.tax,Metro,2340460766
2010,taxable.sales,Metro,33259331497
2010,total.tax,Metro,2536056264
2010,use.tax,Metro,195595498
2011,gross.sales,Metro,150056197123
2011,sales.tax,Metro,2461528651
2011,taxable.sales,Metro,35000160349
2011,total.tax,Metro,2670167705
2011,use.tax,Metro,208639054
2012,gross.sales,Metro,154237369577
2012,sales.tax,Metro,2558730654
2012,taxable.sales,Metro,36379968973
2012,total.tax,Metro,2780877064
2012,use.tax,Metro,222146410
2013,gross.sales,Metro,162316320700
2013,sales.tax,Metro,2732305073
2013,taxable.sales,Metro,38814609098
2013,total.tax,Metro,2986825860
2013,use.tax,Metro,254520787
2014,gross.sales,Metro,170709983018
2014,sales.tax,Metro,2785533578
2014,taxable.sales,Metro,39507202072
2014,total.tax,Metro,3057370717
2014,use.tax,Metro,271837139
2015,gross.sales,Metro,171277810081
2015,sales.tax,Metro,2871932444
2015,taxable.sales,Metro,40719409892
2015,total.tax,Metro,3122396634
2015,use.tax,Metro,250464190
2016,gross.sales,Metro,172413847190
2016,sales.tax,Metro,2920192028
2016,taxable.sales,Metro,41372499212
2016,total.tax,Metro,3134695008
2016,use.tax,Metro,214502980
2017,gross.sales,Metro,179226131789
2017,sales.tax,Metro,3008518467
2017,taxable.sales,Metro,42607245076
2017,total.tax,Metro,3234202939
2017,use.tax,Metro,225684472
2003,gross.sales,Non-metro,286337116005
2003,sales.tax,Non-metro,4964378472
2003,taxable.sales,Non-metro,75129651300
2003,total.tax,Non-metro,5264491318
2003,use.tax,Non-metro,300112846
2004,gross.sales,Non-metro,312237160187
2004,sales.tax,Non-metro,5225745883
2004,taxable.sales,Non-metro,79076091083
2004,total.tax,Non-metro,5563451654
2004,use.tax,Non-metro,337705771
2005,gross.sales,Non-metro,333305323839
2005,sales.tax,Non-metro,5432099193
2005,taxable.sales,Non-metro,82173411438
2005,total.tax,Non-metro,5815308954
2005,use.tax,Non-metro,383209761
2006,gross.sales,Non-metro,357536773566
2006,sales.tax,Non-metro,5580444116
2006,taxable.sales,Non-metro,84376527510
2006,total.tax,Non-metro,6027547917
2006,use.tax,Non-metro,447565728
2007,gross.sales,Non-metro,365259908862
2007,sales.tax,Non-metro,5686288319
2007,taxable.sales,Non-metro,85910897692
2007,total.tax,Non-metro,6121916982
2007,use.tax,Non-metro,435628663
2008,gross.sales,Non-metro,377838047080
2008,sales.tax,Non-metro,5623998572
2008,taxable.sales,Non-metro,84926375190
2008,total.tax,Non-metro,6056909501
2008,use.tax,Non-metro,432910929
2009,gross.sales,Non-metro,346173156103
2009,sales.tax,Non-metro,5401589254
2009,taxable.sales,Non-metro,79167861677
2009,total.tax,Non-metro,5801407731
2009,use.tax,Non-metro,399818477
2010,gross.sales,Non-metro,363526513049
2010,sales.tax,Non-metro,5668327841
2010,taxable.sales,Non-metro,80886990399
2010,total.tax,Non-metro,6090320627
2010,use.tax,Non-metro,421992786
2011,gross.sales,Non-metro,395010844397
2011,sales.tax,Non-metro,5956580290
2011,taxable.sales,Non-metro,85035098561
2011,total.tax,Non-metro,6420265348
2011,use.tax,Non-metro,463685058
2012,gross.sales,Non-metro,411945451349
2012,sales.tax,Non-metro,6221996041
2012,taxable.sales,Non-metro,88822570366
2012,total.tax,Non-metro,6724666906
2012,use.tax,Non-metro,502670865
2013,gross.sales,Non-metro,436458297661
2013,sales.tax,Non-metro,6549853532
2013,taxable.sales,Non-metro,93457986234
2013,total.tax,Non-metro,7098454503
2013,use.tax,Non-metro,548600971
2014,gross.sales,Non-metro,452559883300
2014,sales.tax,Non-metro,6736814132
2014,taxable.sales,Non-metro,96036857044
2014,total.tax,Non-metro,7340135350
2014,use.tax,Non-metro,603321218
2015,gross.sales,Non-metro,445996801158
2015,sales.tax,Non-metro,6970462420
2015,taxable.sales,Non-metro,99355196950
2015,total.tax,Non-metro,7501373881
2015,use.tax,Non-metro,530911461
2016,gross.sales,Non-metro,443382690885
2016,sales.tax,Non-metro,7047222313
2016,taxable.sales,Non-metro,100398562440
2016,total.tax,Non-metro,7478862186
2016,use.tax,Non-metro,431639873
2017,gross.sales,Non-metro,462067469438
2017,sales.tax,Non-metro,7250204126
2017,taxable.sales,Non-metro,103281372995
2017,total.tax,Non-metro,7703341542
2017,use.tax,Non-metro,453137416
