County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Aitkin,2018,60,94421,126876600,1344
Anoka,2018,21,36129,256197400,7091
Becker,2018,44,329931,957046400,2901
Beltrami,2018,60,201319,213834000,1062
Benton,2018,19,178396,547244300,3068
Big Stone,2018,22,277920,1167001500,4199
Blue Earth,2018,35,381043,2692033100,7065
Brown,2018,23,347987,2287879300,6575
Carlton,2018,33,69508,97545400,1403
Carver,2018,21,148367,1165879900,7858
Cass,2018,76,134908,204688100,1517
Chippewa,2018,22,332147,2136330000,6432
Chisago,2018,19,101782,386180300,3794
Clay,2018,41,545137,1875019300,3440
Clearwater,2018,28,228506,245739200,1075
Cook,2018,15,781,1490500,1908
Cottonwood,2018,25,371603,2623640800,7060
Crow Wing,2018,48,71378,156079200,2187
Dakota,2018,34,182461,1368826600,7502
Dodge,2018,18,247195,1650670100,6678
Douglas,2018,31,242763,829867200,3418
Faribault,2018,31,425493,2806332000,6595
Fillmore,2018,37,434581,2432900300,5598
Freeborn,2018,34,397556,2370853200,5964
Goodhue,2018,31,332627,2169526400,6522
Grant,2018,23,299344,1466586200,4899
Hennepin,2018,45,44637,806892700,18077
Houston,2018,24,164748,1086212800,6593
Hubbard,2018,32,86059,180317500,2095
Isanti,2018,16,110631,399416100,3610
Itasca,2018,90,62506,95288700,1524
Jackson,2018,26,406407,2697091600,6636
Kanabec,2018,20,101838,199901900,1963
Kandiyohi,2018,36,373253,2115889200,5669
Kittson,2018,39,515381,966919200,1876
Koochiching,2018,11,81377,68306300,839
Lac Qui Parle,2018,29,431478,2052061700,4756
Lake,2018,10,581,1530300,2634
Lake of the Woods,2018,26,72649,60194800,829
Le Sueur,2018,24,218732,1487080600,6799
Lincoln,2018,20,312710,1402364500,4485
Lyon,2018,31,395392,2471955100,6252
Mahnomen,2018,19,186176,420028000,2256
Marshall,2018,59,841925,1697832800,2017
Martin,2018,30,416021,2996578200,7203
McLeod,2018,23,245849,1306761300,5315
Meeker,2018,26,299681,1526825500,5095
Mille Lacs,2018,25,111024,235588500,2122
Morrison,2018,46,375806,958678300,2551
Mower,2018,34,406058,2574226100,6340
Murray,2018,29,414596,2669612300,6439
Nicollet,2018,18,231353,1800878800,7784
Nobles,2018,31,414819,3174469200,7653
Norman,2018,32,504741,1497298900,2966
Olmsted,2018,26,291526,1772196200,6079
Otter Tail,2018,84,732431,1996928500,2726
Pennington,2018,24,324932,621747800,1913
Pine,2018,47,147852,258655000,1749
Pipestone,2018,21,277609,1592999200,5738
Polk,2018,73,1017148,3200282400,3146
Pope,2018,29,341265,1183302400,3467
Ramsey,2018,18,608,40035000,65847
Red Lake,2018,17,230850,399776000,1732
Redwood,2018,41,519102,3316877500,6390
Renville,2018,37,577749,3730142400,6456
Rice,2018,21,219600,1326609000,6041
Rock,2018,20,288346,2407136300,8348
Roseau,2018,52,569114,546315600,960
Scott,2018,18,99078,1049698300,10595
Sherburne,2018,17,88630,365685600,4126
Sibley,2018,24,326089,2104572300,6454
St. Louis,2018,110,69288,75612300,1091
Stearns,2018,64,593326,2777651200,4681
Steele,2018,17,230211,1354633500,5884
Stevens,2018,21,324123,1832187200,5653
Swift,2018,29,421373,2275116400,5399
Todd,2018,39,346346,689172400,1990
Traverse,2018,19,345353,1758661100,5092
Wabasha,2018,28,217042,1245559600,5739
Wadena,2018,22,117683,219811700,1868
Waseca,2018,17,237918,1687365000,7092
Washington,2018,33,59151,827286000,13986
Watonwan,2018,20,254641,1634057800,6417
Wilkin,2018,30,445614,1756862000,3943
Winona,2018,32,218898,1266625300,5786
Wright,2018,35,235633,1621594700,6882
Yellow Medicine,2018,30,439205,2347048000,5344
