year,description,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,naics,ag,total.ag.gross.sales,pct.ag.gross.sales
2017,FOOD MANUFACTURING,1724800345,4988809,342984,1405371,1748355,74,3110,ag-related,12451184794,0.13852499770392532
2017,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,1697861850,19161325,1317352,1300854,2618206,140,4245,ag-related,12451184794,0.13636146905619526
2003,FOOD MANUFACTURING,2793165885,31631837,2056071,3630511,5686582,167,3110,ag-related,9342252926,0.2989820450296809
2003,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,1919406540,23287716,1513703,519918,2033621,138,4245,ag-related,9342252926,0.2054543540197019
2004,FOOD MANUFACTURING,2052565179,30787569,2001187,3801714,5802901,168,3110,ag-related,8470211520,0.24232749963250033
2004,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2029092309,44468643,2890454,546738,3437192,169,4245,ag-related,8470211520,0.2395562736785114
2005,FOOD MANUFACTURING,2104927524,23533409,1529676,4185878,5715554,147,3110,ag-related,8479727317,0.24823056748299918
2005,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2075750918,28166489,1830823,516042,2346865,167,4245,ag-related,8479727317,0.24478981934225327
2006,FOOD MANUFACTURING,2345716981,33128006,2153325,4563113,6716438,148,3110,ag-related,9619700707,0.24384511040900517
2006,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2244323825,30344290,1972378,799699,2772077,158,4245,ag-related,9619700707,0.23330495338247534
2007,FOOD MANUFACTURING,2539174411,22562140,1466544,5090084,6556628,142,3110,ag-related,10294973662,0.24664214735899728
2007,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2039619028,34342212,2232254,1732755,3965009,175,4245,ag-related,10294973662,0.19811794521908122
2008,FOOD MANUFACTURING,3093928383,16111475,1048978,4531587,5580565,129,3110,ag-related,13479783837,0.22952359031957376
2008,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,3158859577,43774143,2845318,2370367,5215685,165,4245,ag-related,13479783837,0.2343405217173736
2009,FOOD MANUFACTURING,3524289697,14027836,940535,5170139,6110674,125,3110,ag-related,11623629985,0.3032004375180565
2009,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2297363370,32112996,2141190,2220702,4361892,163,4245,ag-related,11623629985,0.197645948207633
2010,FOOD MANUFACTURING,3625254862,11606913,799003,5331059,6130062,120,3110,ag-related,12238421752,0.2962191478167977
2010,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2259978658,37925412,2607368,1742109,4349477,159,4245,ag-related,12238421752,0.18466258998066273
2011,FOOD MANUFACTURING,4227065547,13740158,945536,4086467,5032003,115,3110,ag-related,14730714756,0.2869559024811247
2011,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,3121718331,37433441,2573542,1808845,4382387,164,4245,ag-related,14730714756,0.21191899936345493
2012,FOOD MANUFACTURING,4365674720,17114539,1182733,4260698,5443431,111,3110,ag-related,15513111645,0.2814183782018414
2012,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2936393247,34506131,2372301,1637016,4009317,156,4245,ag-related,15513111645,0.18928460738219616
2013,FOOD MANUFACTURING,4294681763,21347754,1476280,4415479,5891759,105,3110,ag-related,17054124313,0.2518265777930477
2013,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,3822844843,49908085,3431189,2075017,5506206,152,4245,ag-related,17054124313,0.22415955066575455
2014,FOOD MANUFACTURING,4110156451,19095526,1320360,4247406,5567766,104,3110,ag-related,16694784639,0.24619403843032706
2014,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,3287310933,34680226,2384274,1915449,4299723,163,4245,ag-related,16694784639,0.19690645935741202
2015,FOOD MANUFACTURING,2061713936,8261225,567964,2505912,3073876,88,3110,ag-related,13812361770,0.1492658511506682
2015,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,2950465120,25623116,1761592,1451193,3212785,166,4245,ag-related,13812361770,0.2136104722081863
2016,FOOD MANUFACTURING,1878672371,4413742,303443,1211703,1515146,78,3110,ag-related,12373160245,0.15183448155528192
2016,FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,1998603720,24992126,1718222,930465,2648687,162,4245,ag-related,12373160245,0.16152734470626748
